cellDN,controllerName,mcc,mnc,cellId,,,cellLac,cellExpectedCellRadius,cellType,cellDeploymentType,cellSectorIdentifier,cellBtsId,cellTechnology,siteIdentifier,cellid,siteAddress,siteTopologyName,siteT,siteLocationLongitude,siteLocationLatitude,siteLocationGroundHeight,antennaType,antennaAttenuationPattern,antennaGsmPropagationModel,antennaWcdmaPropagationModel,antennaEffectiveHeight,antennaBearing,antennaTilt,antennaLocationLongitude,antennaLocationLatitude,antennaState,cellName,antennaId,antennaHorBeamwidth,antennaTotalTilt,antennaVerBeamwidth,antennaDirectivity,antennaLineLoss
PLMN-PLMN/BSC-900649/BCF-937/BTS-937,KSMBSC2118,639,2,6360,0,,5162,,,,1,937,GSM,13362_WN_WN0636,13362_WN_WN06360,13362_WN_WN0636-EATON_Ragegni_MGF,13362_WN_WN0636-EATON_Ragegni_MGF,13362,34.36367,-0.26861,0,K80010699_900Mhz_06V,,,,47,60,0,34.36367,-0.26861,1,RAGEGNI0,,,,,,
PLMN-PLMN/BSC-900649/BCF-1949/BTS-1949,KSMBSC2118,639,2,8400,0,,5162,,,,1,1949,GSM,17206_WN_WN0840,17206_WN_WN08400,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206,34.32622,-0.33303,0,K80010868_900_04V,,,,30,20,0,34.32622,-0.33303,1,AGOKVILLAGEJUN0,,,,,,
PLMN-PLMN/BSC-900649/BCF-1871/BTS-1876,KSMBSC2118,639,2,4826,6,,5162,,,,6,1876,GSM,15134_WN_WN0482,15134_WN_WN04826,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134,34.28011111,-0.279,0,K742215_1800_02V,,,,44,238,2,34.28011111,-0.279,1,NYAKONGODCP6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1943/BTS-1945,KSMBSC2118,639,2,5772,2,,5162,,,,3,1945,GSM,16940_WN_WN0577,16940_WN_WN05772,16940_WN_WN0577-Aram_Market_OUTL,16940_WN_WN0577-Aram_Market_OUTL,16940,34.3371,-0.2092,0,K80010868_900_02V,,,,35,240,0,34.3371,-0.2092,1,ARAMMARKET2,,,,,,
PLMN-PLMN/BSC-900649/BCF-262/BTS-266,KSMBSC2118,639,2,4835,5,,5077,,,,4,266,GSM,15002_WN_WN0483,15002_WN_WN04835,15002_WN_WN0483-Osieko_OUTL_MGF,15002_WN_WN0483-Osieko_OUTL_MGF,15002,34.01742222,-0.030427778,0,K80010504_1800_00V,,,,34,120,1,34.01742222,-0.030427778,1,OSIEKODCS5,,,,,,
PLMN-PLMN/BSC-900649/BCF-1925/BTS-1926,KSMBSC2118,639,2,4231,1,,5077,,,,2,1926,GSM,16393_WN_WN0423,16393_WN_WN04231,16393_WN_WN0423-Mageta_Island_OUTL,16393_WN_WN0423-Mageta_Island_OUTL,16393,34.0025,-0.12925,0,K80010826_900Mhz_04V,,,,30,120,0,34.0025,-0.12925,1,MAGETAISLAND1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1124/BTS-1129,KSMBSC2118,639,2,2956,6,,5075,,,,6,1129,GSM,13900_WN_WN0295,13900_WN_WN02956,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900,34.33409948,-0.037449749,0,PW7721_1800_02V,,,,38,230,1,34.33409948,-0.037449749,1,BAROBELDCP6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1064/BTS-1065,KSMBSC2118,639,2,3081,1,,5078,,,,2,1065,GSM,14277_WN_WN0308,14277_WN_WN03081,14277_WN_WN0308-Ndori_OUTL_MGF,14277_WN_WN0308-Ndori_OUTL_MGF,14277,34.37931389,-0.07175,0,K80010965_915MHz_03V,,,,44,120,3.5,34.37931389,-0.07175,1,NDORP1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1668/BTS-1668,KSMBSC2118,639,2,5820,0,,5162,,,,1,1668,GSM,16378_WN_WN0582,16378_WN_WN05820,16378_WN_WN0582-Ndigwa_OUTL,16378_WN_WN0582-Ndigwa_OUTL,16378,34.31681944,-0.352994444,0,K80010699_900Mhz_04V,,,,43,53,1,34.31681944,-0.352994444,1,NDIGWA0,,,,,,
PLMN-PLMN/BSC-900649/BCF-1925/BTS-1925,KSMBSC2118,639,2,4230,0,,5077,,,,1,1925,GSM,16393_WN_WN0423,16393_WN_WN04230,16393_WN_WN0423-Mageta_Island_OUTL,16393_WN_WN0423-Mageta_Island_OUTL,16393,34.0025,-0.12925,0,K80010826_900Mhz_04V,,,,30,0,1,34.0025,-0.12925,1,MAGETAISLAND0,,,,,,
PLMN-PLMN/BSC-900649/BCF-220/BTS-220,KSMBSC2118,639,2,640,0,,5077,,,,1,220,GSM,12937_WN_WN0064,12937_WN_WN00640,12937_WN_WN0064-Usengi_OUTL_MGF,12937_WN_WN0064-Usengi_OUTL_MGF,12937,34.05576022,-0.067724866,0,K730378_900_00F,,,,44,0,3.5,34.05576022,-0.067724866,1,USENGIMR0,,,,,,
